                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7953,                 3.4246,                 1.2173,                0.02985,                0.49229,                0.19868,                 0.0756,                 1.5871,                 3.2949,                 1.0204,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.5416,                 1.4599,                 1.0641,                0.03672,                0.57498,                0.28116,                0.12108,                 1.5439,                 2.8485,                 1.0489,             0.00038201,             0.00038201,             0.00038201
                      3,                 1.5364,                 1.3901,                 1.1132,                0.53483,                 0.5481,                  0.318,                 0.1776,                 1.3507,                 2.4141,                 1.0452,             0.00057429,             0.00057429,             0.00057429
                      4,                 1.4778,                 1.1987,                 1.0605,                0.64216,                0.21064,                0.31707,                0.18221,                 1.3084,                 1.9751,                 1.0321,             0.00076261,             0.00076261,             0.00076261
                      5,                  1.411,                 1.1113,                 1.0658,                 0.6263,                   0.31,                 0.5278,                0.23737,                  1.348,                 1.4827,                 1.0526,             0.00094696,             0.00094696,             0.00094696
                      6,                 1.4662,                 1.0481,                 1.0559,                0.90274,                0.49983,                0.55659,                0.24469,                 1.4806,                 1.2179,                 1.0981,              0.0011274,              0.0011274,              0.0011274
                      7,                 1.4644,                 1.0609,                 1.0623,                0.91128,                0.49195,                0.56096,                 0.3036,                 1.2831,                 1.2754,                 1.0245,              0.0013038,              0.0013038,              0.0013038
                      8,                 1.4916,                 1.1105,                 1.0897,                0.95153,                0.46783,                 0.5719,                0.24934,                 1.4626,                 1.0044,                 1.1135,                0.00133,                0.00133,                0.00133
                      9,                 1.4392,                 1.1251,                 1.1001,                0.90021,                0.50988,                0.57293,                0.30594,                 1.1477,                0.95915,                 1.0087,                0.00133,                0.00133,                0.00133
                     10,                 1.4028,                0.92362,                 1.0392,                 0.7606,                0.72037,                   0.83,                0.44683,                 1.2779,                0.81709,                 1.0361,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.3787,                0.92557,                 1.0678,                0.90553,                0.80536,                0.87776,                0.48967,                 1.1992,                0.82762,                 1.0159,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2803,                0.83871,                 1.0175,                 0.8506,                0.84224,                0.89403,                0.49815,                 1.2025,                0.77555,                 1.0093,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.3353,                0.84323,                  1.038,                0.93001,                0.83379,                0.90656,                0.50003,                 1.2197,                0.77111,                 1.0213,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.3117,                0.84422,                 1.0523,                0.88719,                0.83914,                0.90335,                0.50543,                 1.1476,                0.74163,                  1.004,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2946,                0.77563,                 1.0049,                0.88552,                0.83107,                0.90348,                 0.4636,                 1.3268,                0.75176,                 1.0442,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.2882,                0.78097,                 1.0109,                0.89445,                 0.8309,                0.89846,                0.52912,                 1.1761,                0.71843,                  1.004,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2695,                0.79448,                 1.0071,                0.94123,                0.82294,                0.91759,                0.52927,                 1.1969,                0.69383,                 1.0103,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2339,                0.72915,                0.99022,                0.95173,                0.83961,                0.91507,                0.51458,                 1.2889,                0.70675,                  1.042,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.2417,                 0.7365,                0.98804,                0.90283,                0.84112,                0.89052,                0.51596,                 1.1501,                0.67447,                  1.018,              0.0011885,              0.0011885,              0.0011885
                     20,                  1.228,                0.73614,                0.98743,                0.92958,                0.84803,                0.91139,                0.51615,                 1.2229,                0.65629,                 1.0225,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.2508,                0.75624,                 1.0028,                0.93806,                0.82269,                0.90326,                0.51523,                 1.1414,                0.65727,                 1.0109,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.2747,                0.73465,                 1.0087,                0.93865,                 0.8431,                0.90371,                0.52589,                  1.184,                0.65933,                 1.0114,              0.0011461,              0.0011461,              0.0011461
